faoCode,faoName,scientificName
BIB,Pouting(=Bib),Trisopterus luscus
BID,Orange-lined triggerfish,Balistapus undulatus
BIF,De Buen's goby,Buenia affinis
BIG,Bigeyes nei,Priacanthus spp
BIH,Ground croaker,Bairdiella ronchus
BII,Bythites islandicus,Bythites islandicus
BIL,"Marlins,sailfishes,etc. nei",Istiophoridae
BIN,Bilabria ornata,Bilabria ornata
BIP,Striped bonito,Sarda orientalis
BIQ,Tanner's deep-water shrimp,Benthesicymus tanneri
BIR,Red bigeye,Priacanthus macracanthus
BIS,Bigeye scad,Selar crumenophthalmus
BIV,Acorn barnacle,Smilium zancleanum
BIX,Balistes spp,Balistes spp
BIY,Finescale triggerfish,Balistes polylepis
BJB,Banjos banjos,Banjos banjos
BJF,Pfeffer's enope squid,Abraliopsis pfefferi
BJK,Pigmy leatherjacket,Brachaluteres jacksonianus
BJO,Frillfin goby,Bathygobius soporator
BJR,Roughtail skate,Bathyraja trachura
BJS,Spiny skate,Bathyraja spinosissima
BJT,Bathyraja trachouros,Bathyraja trachouros
BJU,Tubelip wrasse,Labrichthys unilineatus
BJV,Okhotsk skate,Bathyraja violacea
BJZ,Bathyraja tzinovskii,Bathyraja tzinovskii
BKG,Gill's sand lance,Ammodytes gilli
BKJ,Black skipjack,Euthynnus lineatus
BKU,Chascanopsetta crumenalis,Chascanopsetta crumenalis
BLB,Blue butterfish,Stromateus fiatola
BLE,Combtooth blennies,Blenniidae
BLF,Blackfin tuna,Thunnus atlanticus
BLG,Bathyclupea argentea,Bathyclupea argentea
BLH,Northern smoothtounge,Leuroglossus schmidti
BLI,Blue ling,Molva dypterygia
BLJ,Verany's enope squid,Abralia veranyi
BLK,Abralia andamanica,Abralia andamanica
BLL,Brill,Scophthalmus rhombus
BLM,Black marlin,Makaira indica
BLN,Pugheaded pipefish,Bulbonaricus brauni
BLP,Patagonian blennie,Eleginops maclovinus
BLQ,White-eye goby,Bollmannia boqueronensis
BLR,Blacktip reef shark,Carcharhinus melanopterus
BLT,Bullet tuna,Auxis rochei
BLU,Bluefish,Pomatomus saltatrix
BLV,Queen triggerfish,Balistes vetula
BLY,Shortfin searobin,Bellator brachychir
BMA,Antenna codlet,Bregmaceros atlanticus
BME,Mediterranean spiderfish,Bathypterois mediterraneus
BMF,Alaskan ronquil,Bathymaster caeruleofasciatus
BMJ,Bembras japonicus,Bembras japonicus
BMK,Green humphead parrotfish,Bolbometopon muricatum
BML,Slim flounder,Monolene antillarum
BMO,Blue moki,Latridopsis ciliaris
BMQ,Duckbill flathead,Bembrops anatirostris
BMR,Bembradium roseum,Bembradium roseum
BMS,Blennodesmus scapularis,Blennodesmus scapularis
BMU,Murray's skate,Bathyraja murrayi
BMX,Yellowtail bass,Bathyanthias mexicanus
BNF,Longfin bonefish,Pterothrissus belloci
BNK,Spiny mole crab,Albunea lucasia
BNQ,Peppermint swimcrab,Bathynectes piperitus
BNS,Smallfin lanternfish,Benthosema suborbitale
BNT,Pearleyes nei,Benthalbella spp
BNX,Bolinichthys distofax,Bolinichthys distofax
BNZ,Benthalbella macropinna,Benthalbella macropinna
BOA,Bonga shad,Ethmalosa fimbriata
BOB,Atlantic seabob,Xiphopenaeus kroyeri
BOC,Boarfish,Capros aper
BOE,Black oreo,Allocyttus niger
BOF,Bonefish,Albula vulpes
BOG,Bogue,Boops boops
BOJ,Fransmadam,Boopsoidea inornata
BOL,Bothrocara alalongum,Bothrocara alalongum
BOM,Boeseman croaker,Boesemania microlepis
BON,Atlantic bonito,Sarda sarda
BOP,Plain bonito,Orcynopsis unicolor
BOQ,Horned murex,Bolinus cornutus
BOR,Boarfishes nei,Caproidae
BOS,Pacific seabobs,"Xiphopenaeus, Trachypenaeus spp"
BOU,Gulf toadfish,Opsanus beta
BOX,Aphanopus spp,Aphanopus spp
BOY,Purple dye murex,Bolinus brandaris
BPB,Atlantic fanfish,Pterycombus brama
BPE,Guinean toadfish,Perulibatrachus elminensis
BPG,Abyssal spiderfish,Bathypterois longipes
BPH,Arrowhead soapfish,Belonoperca chabanaudi
BPI,Blotched picarel,Spicara maena
BPK,Parabothus coarctatus,Parabothus coarctatus
BPO,Bonapartia pedaliota,Bonapartia pedaliota
BPP,Porichthys porosissimus,Porichthys porosissimus
BPQ,Pacific pomfret,Brama japonica
BPS,Purple brotula,Grammonus diagrammus
BPX,Lambis spp,Lambis spp
BPY,Prickly fanfish,Pterycombus petersii
BQA,Common spider conch,Lambis lambis
BQE,Fly spotted auger,Terebra areolata
BQH,Chiragra spider conch,Lambis chiragra
BQI,Milleped spider conch,Lambis millepeda
BQJ,Scorpio spider conch,Lambis scorpius
BQK,Marlinspike,Terebra maculata
BQL,Coconut crab,Birgus latro
BQN,Giant spider conch,Lambis truncata
BQO,Striated buccinum,Buccinulum corneum
BQP,Ornate arm squid,Brachioteuthis picta
BQQ,Subulate auger,Terebra subulata
BQR,Common arm squid,Brachioteuthis riisei
BQW,Orange spider conch,Lambis crocata
BQX,Butterfishes nei,Stromateus spp
BQY,Dragonfishes nei,Bathydraconidae
BRA,Brama spp,Brama spp
BRB,Black seabream,Spondyliosoma cantharus
BRC,Arm squids nei,Brachioteuthis spp
BRD,Bearded brotula,Brotula barbata
BRF,Blackbelly rosefish,Helicolenus dactylopterus
BRG,Barred grunt,Conodon nobilis
BRI,Bristlemouths,Gonostomatidae
BRK,Broadbodied toadfish,Riekertia ellisi
BRM,Borostomias mononema,Borostomias mononema
BRO,Copper shark,Carcharhinus brachyurus
BRS,Serra Spanish mackerel,Scomberomorus brasiliensis
BRT,Snaggletooth,Borostomias antarcticus
BRU,Southern rays bream,Brama australis
BRX,"Alfonsinos, etc. nei",Berycidae
BRY,Brotulina erythrea,Brotulina erythrea
